sell,1675063065543.00,1675063069066.00,-0.00
sell,1675063126400.00,1675063131480.00,-0.00
buy,1675063439057.00,1675063441235.00,0.01
buy,1675063667590.00,1675063674537.00,-0.01
buy,1675064143565.00,1675064147037.00,0.00
buy,1675064371151.00,1675064402198.00,0.00
sell,1675064445181.00,1675064447293.00,0.00
sell,1675064605978.00,1675064619321.00,-0.00
buy,1675064880319.00,1675064882989.00,0.01
sell,1675064919637.00,1675064929469.00,0.00
sell,1675065251222.00,1675065254358.00,0.00
buy,1675065532983.00,1675065539080.00,0.00
buy,1675065590666.00,1675065597315.00,-0.00
sell,1675065600782.00,1675065604845.00,0.00
sell,1675066206494.00,1675066210157.00,-0.01
sell,1675066373423.00,1675066379366.00,-0.00
buy,1675066440029.00,1675066442194.00,-0.00
sell,1675066539742.00,1675066543280.00,0.01
buy,1675066900657.00,1675066903451.00,-0.01
sell,1675067006022.00,1675067009778.00,-0.02
sell,1675067247557.00,1675067251507.00,0.02
sell,1675067430023.00,1675067433016.00,0.02
buy,1675067675379.00,1675067677749.00,-0.01
sell,1675067987250.00,1675067989873.00,0.01
sell,1675068237198.00,1675068240125.00,0.01
buy,1675068294167.00,1675068298655.00,-0.00
sell,1675068501672.00,1675068511033.00,-0.01
sell,1675068571704.00,1675068576148.00,-0.00
buy,1675068597707.00,1675068599785.00,-0.00
sell,1675068676024.00,1675068680970.00,-0.00
buy,1675068723682.00,1675068726690.00,-0.02
sell,1675068924543.00,1675068928092.00,-0.00
sell,1675069036657.00,1675069042474.00,-0.01
buy,1675069440520.00,1675069442735.00,0.04
sell,1675069458548.00,1675069461018.00,-0.02
buy,1675069526527.00,1675069528627.00,-0.02
buy,1675069677591.00,1675069680030.00,0.02
sell,1675069702511.00,1675069704597.00,-0.02
buy,1675069733527.00,1675069736591.00,-0.03
sell,1675069747036.00,1675069749080.00,0.04
buy,1675069799766.00,1675069802169.00,0.01
sell,1675069910822.00,1675069912832.00,-0.01
buy,1675069921157.00,1675069923410.00,-0.01
buy,1675069929554.00,1675069932830.00,-0.01
sell,1675069940101.00,1675069942547.00,-0.00
buy,1675070154015.00,1675070156076.00,0.02
sell,1675070293010.00,1675070295326.00,0.00
buy,1675070313221.00,1675070315843.00,-0.03
buy,1675070336677.00,1675070339122.00,0.00
sell,1675070394786.00,1675070397009.00,-0.01
sell,1675070398144.00,1675070400652.00,-0.01
buy,1675070406801.00,1675070412798.00,-0.02
sell,1675070422032.00,1675070424470.00,0.02
buy,1675070457845.00,1675070460170.00,0.01
sell,1675070490606.00,1675070496604.00,-0.02
buy,1675070684914.00,1675070688455.00,0.02
sell,1675070816577.00,1675070820199.00,-0.00
sell,1675070910479.00,1675070912913.00,-0.02
buy,1675070928735.00,1675070930944.00,-0.00
sell,1675070993167.00,1675070995172.00,0.01
buy,1675071101582.00,1675071103727.00,-0.01
sell,1675071248046.00,1675071250931.00,0.00
sell,1675071336928.00,1675071339267.00,0.01
sell,1675071439234.00,1675071443547.00,0.00
buy,1675071532646.00,1675071534703.00,-0.01
sell,1675071538079.00,1675071540085.00,-0.01
buy,1675071596622.00,1675071599032.00,-0.00
sell,1675071633768.00,1675071635912.00,0.01
buy,1675071663373.00,1675071665573.00,-0.01
buy,1675071718584.00,1675071720895.00,-0.01
sell,1675071724894.00,1675071727068.00,-0.00
buy,1675071748452.00,1675071750735.00,0.01
buy,1675071887174.00,1675071889294.00,-0.02
sell,1675071895618.00,1675071898852.00,0.03
buy,1675071937305.00,1675071941914.00,0.00
buy,1675072147400.00,1675072149971.00,0.00
sell,1675072231065.00,1675072233096.00,0.02
buy,1675072309281.00,1675072311800.00,-0.00
sell,1675072318749.00,1675072325768.00,0.00
sell,1675072575037.00,1675072577288.00,0.01
buy,1675072600549.00,1675072602673.00,0.03
sell,1675072675912.00,1675072685113.00,0.01
sell,1675072778136.00,1675072780324.00,-0.01
sell,1675072865283.00,1675072868055.00,0.01
buy,1675072898051.00,1675072900454.00,-0.01
sell,1675072952528.00,1675072954664.00,-0.00
buy,1675072991003.00,1675072995671.00,-0.06
buy,1675073075500.00,1675073078371.00,0.04
sell,1675073205520.00,1675073208117.00,0.00
sell,1675073299367.00,1675073301618.00,0.01
buy,1675073337644.00,1675073341854.00,-0.01
buy,1675073389617.00,1675073392171.00,-0.01
sell,1675073442221.00,1675073445103.00,-0.00
buy,1675073548965.00,1675073551304.00,0.00
buy,1675073607387.00,1675073610163.00,0.01
sell,1675073635570.00,1675073638076.00,0.00
buy,1675073910258.00,1675073912661.00,0.01
buy,1675074064680.00,1675074066794.00,0.00
buy,1675074275338.00,1675074278053.00,0.02
sell,1675074547208.00,1675074549232.00,0.00
buy,1675074586599.00,1675074598503.00,0.01
sell,1675075286000.00,1675075292795.00,0.00
sell,1675075342070.00,1675075346765.00,0.02
sell,1675075788178.00,1675075791803.00,-0.00
buy,1675075796836.00,1675075799034.00,0.00
sell,1675075808438.00,1675075810569.00,0.01
sell,1675075976093.00,1675075978557.00,0.03
buy,1675076003452.00,1675076007027.00,0.01
sell,1675076083449.00,1675076088347.00,0.02
buy,1675076137124.00,1675076146043.00,0.01
sell,1675076173458.00,1675076177278.00,-0.01
sell,1675076211854.00,1675076214272.00,-0.01
sell,1675076370749.00,1675076374723.00,-0.00
buy,1675076390275.00,1675076396334.00,0.00
sell,1675076425005.00,1675076430827.00,0.00
buy,1675076485782.00,1675076487907.00,-0.02
buy,1675076539008.00,1675076541671.00,0.01
buy,1675076637068.00,1675076639377.00,0.00
sell,1675076716002.00,1675076725840.00,0.01
buy,1675076738944.00,1675076742571.00,-0.01
buy,1675076797201.00,1675076800551.00,0.01
sell,1675077138475.00,1675077142666.00,-0.00
sell,1675077176469.00,1675077179966.00,0.00
