symbol,signal,entryTime,outTime,pnl
ETCUSDT,-1,1675037425227.0,1675037435245.0,-0.17221
BTCUSDT,-1,1675037426524.0,1675037437649.0,0.00966
ETHUSDT,-1,1675037426520.0,1675037437657.0,0.00303
ETCUSDT,1,1675037428644.0,1675037439083.0,0.07739
ETCUSDT,-1,1675037452280.0,1675037462310.0,-0.04298
ETHUSDT,1,1675037448889.0,1675037464275.0,0.02610
ETCUSDT,1,1675037455028.0,1675037466152.0,0.07304
BTCUSDT,1,1675037474056.0,1675037484851.0,-0.01008
ETCUSDT,-1,1675037484199.0,1675037494242.0,0.32601
BTCUSDT,-1,1675037492224.0,1675037503937.0,0.03362
ETHUSDT,-1,1675037491171.0,1675037503940.0,0.04856
ETCUSDT,1,1675037503585.0,1675037513654.0,-0.06451
ETCUSDT,-1,1675037514370.0,1675037524465.0,-0.02582
ETHUSDT,1,1675037522237.0,1675037532446.0,-0.01761
ETHUSDT,-1,1675037531405.0,1675037541558.0,-0.01640
ETCUSDT,1,1675037541372.0,1675037551625.0,-0.09464
BTCUSDT,1,1675037542039.0,1675037554015.0,0.01556
ETCUSDT,-1,1675037548578.0,1675037558618.0,0.05597
ETHUSDT,1,1675037559095.0,1675037571920.0,-0.00243
ETCUSDT,1,1675037569615.0,1675037580023.0,-0.05597
ETCUSDT,-1,1675037582733.0,1675037592930.0,0.13800
ETCUSDT,1,1675037597279.0,1675037608367.0,0.01726
BTCUSDT,-1,1675037616867.0,1675037627539.0,0.05045
ETCUSDT,-1,1675037622242.0,1675037633046.0,0.02592
ETHUSDT,-1,1675037621479.0,1675037636704.0,0.00182
ETCUSDT,1,1675037640473.0,1675037651444.0,-0.16852
ETCUSDT,-1,1675037645804.0,1675037655821.0,0.06490
ETCUSDT,1,1675037664470.0,1675037674741.0,-0.00866
ETCUSDT,-1,1675037673905.0,1675037683925.0,0.02599
BTCUSDT,1,1675037652028.0,1675037684028.0,-0.00505
BTCUSDT,-1,1675037652028.0,1675037684029.0,-0.00252
ETCUSDT,1,1675037690804.0,1675037700844.0,-0.03898
ETCUSDT,-1,1675037690827.0,1675037701424.0,0.01300
ETCUSDT,1,1675037691298.0,1675037701424.0,-0.02599
ETCUSDT,-1,1675037698559.0,1675037708610.0,-0.15603
ETCUSDT,1,1675037704887.0,1675037714942.0,0.00866
BTCUSDT,1,1675037705385.0,1675037719414.0,0.00631
ETHUSDT,1,1675037709681.0,1675037721355.0,-0.01883
ETCUSDT,-1,1675037714274.0,1675037724453.0,-0.13427
ETCUSDT,1,1675037722638.0,1675037733038.0,0.09084
ETCUSDT,-1,1675037745995.0,1675037756041.0,-0.06488
ETCUSDT,1,1675037760744.0,1675037770989.0,-0.26799
ETCUSDT,-1,1675037764437.0,1675037774642.0,0.10388
ETHUSDT,-1,1675037764919.0,1675037778979.0,0.01154
BTCUSDT,-1,1675037779185.0,1675037790106.0,0.02397
ETCUSDT,1,1675037785346.0,1675037795435.0,-0.00866
ETCUSDT,-1,1675037829397.0,1675037839726.0,0.10403
ETCUSDT,1,1675037860149.0,1675037870205.0,-0.17821
ETCUSDT,-1,1675037865007.0,1675037875176.0,0.12174
ETCUSDT,1,1675037879608.0,1675037889707.0,0.13925
ETCUSDT,-1,1675037898136.0,1675037908635.0,0.02176
ETHUSDT,1,1675037902647.0,1675037912652.0,-0.06157
